Provincia,Partido,Localidad,ADSL,CABLEMODEM,DIAL UP,FIBRA OPTICA,OTROS,SATELITAL,WIMAX,WIRELESS
BUENOS AIRES,25 de Mayo,25 de Mayo,755,4600,0,2,0,742,0,727
BUENOS AIRES,25 de Mayo,Del Valle,181,0,0,0,10,1,0,0
BUENOS AIRES,25 de Mayo,Gobernador Ugarte,0,0,0,0,0,0,0,181
BUENOS AIRES,25 de Mayo,Norberto de la Riestra,0,782,0,496,16,0,0,185
BUENOS AIRES,25 de Mayo,Lucas Monteverde,0,0,0,0,0,0,0,6
BUENOS AIRES,25 de Mayo,Ernestina,75,0,0,0,0,0,0,0
BUENOS AIRES,25 de Mayo,Pedernales,154,0,0,25,21,0,0,7
BUENOS AIRES,9 de Julio,12 de Octubre,0,0,0,0,0,0,0,19
BUENOS AIRES,9 de Julio,9 de Julio,4241,3553,80,6238,0,0,0,831
BUENOS AIRES,9 de Julio,Alfredo Demarchi  (Est. Facundo Quiroga),450,0,0,0,60,0,0,0
BUENOS AIRES,9 de Julio,Dudignac,0,0,0,0,0,0,0,474
BUENOS AIRES,9 de Julio,Manuel B. Gonnet  (Est. French),193,0,0,2,2,0,0,0
BUENOS AIRES,9 de Julio,Villa General Fournier  (Est. 9 de Julio Sud),0,0,0,118,0,0,0,42
BUENOS AIRES,9 de Julio,Patricios,81,0,0,0,0,0,0,50
BUENOS AIRES,9 de Julio,Morea,0,0,0,0,0,0,0,130
BUENOS AIRES,Adolfo Alsina,Carhué,766,0,1,1417,1,0,0,1066
BUENOS AIRES,Adolfo Alsina,Maza,0,0,0,390,0,2,0,14
BUENOS AIRES,Adolfo Alsina,Rivera,0,0,0,1253,0,0,0,0
BUENOS AIRES,Adolfo Alsina,Colonia San Miguel Arcángel,0,0,0,208,0,0,0,0
BUENOS AIRES,Adolfo Alsina,Esteban Agustín Gascón,0,0,0,60,0,0,0,0
BUENOS AIRES,Adolfo Gonzales Chaves,Adolfo Gonzales Chaves  (Est. Chaves),464,0,2,943,0,0,0,690
BUENOS AIRES,Adolfo Gonzales Chaves,De la Garma,0,0,0,654,6,0,0,57
BUENOS AIRES,Adolfo Gonzales Chaves,Juan E. Barra,0,0,0,0,0,0,0,46
BUENOS AIRES,Adolfo Gonzales Chaves,Vásquez,0,0,0,0,0,0,0,14
BUENOS AIRES,Alberti,Alberti   (Est. Andrés Vaccarezza),335,0,6,1,0,0,0,2
BUENOS AIRES,Alberti,Mechita,285,0,0,0,0,0,0,0
BUENOS AIRES,Alberti,Coronel Seguí,0,0,0,0,0,0,0,5
BUENOS AIRES,Alberti,Villa Ortiz  (Est. Coronel Mom),0,0,0,0,0,0,0,24
BUENOS AIRES,Almirante Brown,Adrogué,86,9355,53,12087,91,1,0,26
BUENOS AIRES,Almirante Brown,Burzaco,39,16766,35,12073,14,2,0,309
BUENOS AIRES,Almirante Brown,Claypole,4,7732,3,3987,15,0,0,2
BUENOS AIRES,Almirante Brown,Don Orione,0,5756,0,0,42,0,0,1
BUENOS AIRES,Almirante Brown,Glew,11,9209,10,12012,12,0,0,54
BUENOS AIRES,Almirante Brown,Jose Mármol,0,7604,1,1605,4,0,0,1
BUENOS AIRES,Almirante Brown,Longchamps,16,9478,20,8223,29,0,0,1
BUENOS AIRES,Almirante Brown,Malvinas Argentinas,1,4921,3,787,6,0,0,1
